"record","Query","User ID","Timestamp","Click URL"
,"latest AI trends","5555","2025-07-23 13:14:37","https://wikipedia.org/search?q=fitness+tips"
,"top movies 2025","7983","2025-02-27 7:43:19","https://amazon.com/search?q=history+of+the+internet"
,"fitness tips","6770","2025-04-22 12:38:0","https://wikipedia.org/search?q=top+movies+2025"
,"how to cook pasta","1981","2025-04-28 2:16:8","https://wikipedia.org/search?q=weather+in+New+York"
,"fitness tips","7362","2025-04-10 20:18:34","https://youtube.com/search?q=history+of+the+internet"
,"how to invest in stocks","6824","2025-05-10 20:31:23","https://amazon.com/search?q=cheap+flights+to+London"
,"top movies 2025","7009","2025-08-20 4:13:29","https://google.com/search?q=top+movies+2025"
,"top movies 2025","2580","2025-07-25 19:58:40","https://google.com/search?q=best+programming+languages"
,"best smartphones 2025","5279","2025-01-14 18:19:37","https://youtube.com/search?q=best+programming+languages"
,"how to cook pasta","4700","2025-03-12 17:8:30","https://youtube.com/search?q=top+movies+2025"
,"cheap flights to London","4412","2025-09-10 10:2:35","https://amazon.com/search?q=fitness+tips"
,"cheap flights to London","1446","2025-04-28 7:4:25","https://youtube.com/search?q=how+to+cook+pasta"
,"cheap flights to London","8033","2025-03-13 9:6:54","https://google.com/search?q=top+movies+2025"
,"weather in New York","2073","2025-03-12 23:28:3","https://google.com/search?q=fitness+tips"
,"history of the internet","1383","2025-01-12 2:4:28","https://youtube.com/search?q=best+smartphones+2025"
,"how to invest in stocks","1498","2025-08-16 18:55:16","https://wikipedia.org/search?q=how+to+cook+pasta"
,"weather in New York","8471","2025-02-10 7:56:7","https://amazon.com/search?q=cheap+flights+to+London"
,"history of the internet","9194","2025-01-17 13:34:39","https://youtube.com/search?q=fitness+tips"
,"top movies 2025","8833","2025-08-13 8:46:52","https://amazon.com/search?q=best+programming+languages"
,"how to cook pasta","4215","2025-04-28 3:56:9","https://news.com/search?q=best+smartphones+2025"
,"how to invest in stocks","7827","2025-04-13 9:18:46","https://amazon.com/search?q=best+programming+languages"
,"history of the internet","8331","2025-04-24 7:6:16","https://amazon.com/search?q=history+of+the+internet"
,"how to invest in stocks","2615","2025-06-18 13:30:6","https://youtube.com/search?q=how+to+cook+pasta"
,"best programming languages","7082","2025-05-26 17:37:6","https://amazon.com/search?q=fitness+tips"
,"fitness tips","5514","2025-07-10 10:8:6","https://news.com/search?q=latest+AI+trends"
,"top movies 2025","4643","2025-07-17 7:34:32","https://news.com/search?q=cheap+flights+to+London"
,"history of the internet","3320","2025-07-21 19:52:48","https://youtube.com/search?q=best+smartphones+2025"
,"history of the internet","7700","2025-03-13 18:55:56","https://google.com/search?q=weather+in+New+York"
,"best programming languages","5689","2025-06-27 22:28:36","https://youtube.com/search?q=best+programming+languages"
,"how to cook pasta","4094","2025-03-24 9:40:40","https://wikipedia.org/search?q=latest+AI+trends"
,"fitness tips","5739","2025-07-22 10:54:17","https://news.com/search?q=top+movies+2025"
,"best smartphones 2025","8847","2025-05-15 0:45:25","https://youtube.com/search?q=top+movies+2025"
,"how to invest in stocks","6341","2025-04-13 12:11:30","https://news.com/search?q=history+of+the+internet"
,"fitness tips","5382","2025-01-19 3:48:53","https://amazon.com/search?q=cheap+flights+to+London"
,"top movies 2025","3630","2025-08-27 18:24:16","https://news.com/search?q=fitness+tips"
,"top movies 2025","2836","2025-02-17 10:48:58","https://google.com/search?q=how+to+cook+pasta"
,"best smartphones 2025","5999","2025-03-16 16:4:58","https://amazon.com/search?q=latest+AI+trends"
,"weather in New York","9668","2025-09-20 5:1:57","https://google.com/search?q=weather+in+New+York"
,"fitness tips","3262","2025-04-21 21:36:55","https://youtube.com/search?q=top+movies+2025"
,"how to invest in stocks","2084","2025-04-22 22:26:7","https://amazon.com/search?q=history+of+the+internet"
,"latest AI trends","2550","2025-09-26 4:6:58","https://youtube.com/search?q=top+movies+2025"
,"best programming languages","2587","2025-04-20 13:4:25","https://news.com/search?q=fitness+tips"
,"top movies 2025","1359","2025-06-14 13:2:30","https://amazon.com/search?q=top+movies+2025"
,"best programming languages","4754","2025-08-22 19:28:6","https://news.com/search?q=how+to+invest+in+stocks"
,"weather in New York","5542","2025-09-19 10:54:40","https://amazon.com/search?q=history+of+the+internet"
,"how to cook pasta","3481","2025-06-20 11:3:1","https://google.com/search?q=cheap+flights+to+London"
,"weather in New York","4390","2025-08-26 19:37:15","https://youtube.com/search?q=best+smartphones+2025"
,"how to invest in stocks","9013","2025-07-15 1:20:33","https://google.com/search?q=best+smartphones+2025"
,"latest AI trends","2103","2025-08-10 21:36:36","https://amazon.com/search?q=best+programming+languages"
,"best programming languages","8738","2025-02-20 16:52:20","https://news.com/search?q=how+to+cook+pasta"
