Query,User ID,Timestamp,Click URL
latest AI trends,7568,2025-08-15 7:58:34,https://amazon.com/search?q=best+smartphones+2025
weather in New York,3152,2025-04-19 0:50:46,https://youtube.com/search?q=top+movies+2025
fitness tips,5061,2025-03-18 21:26:10,https://google.com/search?q=best+smartphones+2025
history of the internet,3993,2025-05-25 11:3:13,https://wikipedia.org/search?q=best+smartphones+2025
best programming languages,8173,2025-01-25 21:30:27,https://amazon.com/search?q=history+of+the+internet
how to cook pasta,3315,2025-08-28 15:32:14,https://google.com/search?q=fitness+tips
history of the internet,5842,2025-07-21 20:43:34,https://amazon.com/search?q=weather+in+New+York
history of the internet,5182,2025-07-15 0:45:31,https://google.com/search?q=fitness+tips
top movies 2025,7356,2025-01-26 13:7:25,https://amazon.com/search?q=top+movies+2025
how to cook pasta,2769,2025-07-25 2:8:8,https://google.com/search?q=history+of+the+internet
best smartphones 2025,1256,2025-05-15 20:4:0,https://news.com/search?q=latest+AI+trends
cheap flights to London,9706,2025-07-26 0:2:36,https://google.com/search?q=cheap+flights+to+London
how to cook pasta,1383,2025-09-28 19:6:0,https://youtube.com/search?q=fitness+tips
fitness tips,1389,2025-04-13 4:25:47,https://youtube.com/search?q=weather+in+New+York
latest AI trends,4876,2025-06-26 13:4:7,https://google.com/search?q=how+to+cook+pasta
how to invest in stocks,9993,2025-05-26 8:23:44,https://youtube.com/search?q=best+smartphones+2025
best smartphones 2025,5162,2025-08-27 1:29:28,https://news.com/search?q=top+movies+2025
cheap flights to London,2110,2025-06-27 2:52:45,https://news.com/search?q=fitness+tips
how to invest in stocks,7490,2025-04-22 20:36:5,https://amazon.com/search?q=best+smartphones+2025
latest AI trends,9037,2025-08-13 2:6:40,https://wikipedia.org/search?q=history+of+the+internet
how to invest in stocks,9474,2025-04-26 20:24:29,https://amazon.com/search?q=latest+AI+trends
history of the internet,7362,2025-09-15 0:26:38,https://youtube.com/search?q=best+smartphones+2025
fitness tips,6184,2025-03-10 23:3:17,https://amazon.com/search?q=history+of+the+internet
how to cook pasta,3743,2025-08-19 20:49:35,https://youtube.com/search?q=fitness+tips
latest AI trends,4043,2025-06-14 22:36:16,https://amazon.com/search?q=fitness+tips
how to cook pasta,6515,2025-06-18 2:11:9,https://news.com/search?q=how+to+invest+in+stocks
how to invest in stocks,6384,2025-01-17 19:9:55,https://amazon.com/search?q=best+smartphones+2025
top movies 2025,7443,2025-09-21 23:11:7,https://amazon.com/search?q=best+programming+languages
history of the internet,1057,2025-03-24 1:44:26,https://google.com/search?q=top+movies+2025
how to invest in stocks,6413,2025-08-18 21:10:30,https://news.com/search?q=latest+AI+trends
best programming languages,2841,2025-01-13 4:22:16,https://google.com/search?q=best+smartphones+2025
best programming languages,8008,2025-08-12 4:14:8,https://wikipedia.org/search?q=latest+AI+trends
fitness tips,8230,2025-06-23 12:6:14,https://wikipedia.org/search?q=cheap+flights+to+London
weather in New York,1040,2025-04-11 23:32:49,https://news.com/search?q=how+to+cook+pasta
history of the internet,6879,2025-02-20 4:6:53,https://news.com/search?q=history+of+the+internet
best smartphones 2025,4497,2025-08-10 6:5:52,https://youtube.com/search?q=best+programming+languages
best smartphones 2025,3977,2025-05-20 0:56:19,https://youtube.com/search?q=latest+AI+trends
weather in New York,4571,2025-07-23 16:40:38,https://google.com/search?q=best+programming+languages
latest AI trends,8634,2025-08-23 14:20:10,https://news.com/search?q=how+to+cook+pasta
fitness tips,1696,2025-06-21 9:9:29,https://google.com/search?q=fitness+tips
weather in New York,2829,2025-08-10 4:52:18,https://amazon.com/search?q=top+movies+2025
fitness tips,2747,2025-07-20 12:51:5,https://google.com/search?q=history+of+the+internet
how to cook pasta,9719,2025-07-21 4:36:23,https://amazon.com/search?q=how+to+invest+in+stocks
how to invest in stocks,9770,2025-07-26 21:48:10,https://google.com/search?q=fitness+tips
cheap flights to London,3399,2025-08-27 4:23:33,https://news.com/search?q=how+to+cook+pasta
best programming languages,1879,2025-02-28 7:58:5,https://news.com/search?q=how+to+invest+in+stocks
weather in New York,4689,2025-03-19 15:55:47,https://youtube.com/search?q=fitness+tips
weather in New York,8866,2025-08-10 23:5:43,https://amazon.com/search?q=weather+in+New+York
weather in New York,9319,2025-07-15 15:46:41,https://youtube.com/search?q=top+movies+2025
best programming languages,8165,2025-03-10 16:42:11,https://youtube.com/search?q=weather+in+New+York
